# File: L123.LC_bm2_R_MgdFor_Yh_GLU_beforeadjust.csv
# Title: Initialization of harvested area (ha) by country/GLU/crop
# Units: thousand km2
# Author: XZ,updated for bug_fix_based of v6
# Description: This file was output from the module_aglu_LB123.LC_R_MgdPastFor_Yh_GLU. It is used when UsethisFile is TRUE. The file increase forest areas to correct yield.
# Column types: iccin
# ----------
GCAM_region_ID,Land_Type,GLU,year,MgdFor
1,Forest,GLU007,1700,0.331122652
1,Forest,GLU007,1750,1.360405862
1,Forest,GLU007,1800,2.389689072
1,Forest,GLU007,1850,6.587647649
1,Forest,GLU007,1900,21.17249442
1,Forest,GLU007,1950,42.28878633
1,Forest,GLU023,1700,0.034611493
1,Forest,GLU023,1750,0.142200109
1,Forest,GLU023,1800,0.249788726
1,Forest,GLU023,1850,0.688591723
1,Forest,GLU023,1900,2.213112357
1,Forest,GLU023,1950,4.420349994
1,Forest,GLU027,1700,1.99E-04
1,Forest,GLU027,1750,8.16E-04
1,Forest,GLU027,1800,0.001433539
1,Forest,GLU027,1850,0.003951831
1,Forest,GLU027,1900,0.012701062
1,Forest,GLU027,1950,0.025368409
1,Forest,GLU096,1700,5.76E-05
1,Forest,GLU096,1750,2.37E-04
1,Forest,GLU096,1800,4.16E-04
1,Forest,GLU096,1850,0.001145644
1,Forest,GLU096,1900,0.003682066
1,Forest,GLU096,1950,0.007354357
1,Forest,GLU101,1700,0.001901721
1,Forest,GLU101,1750,0.007813153
1,Forest,GLU101,1800,0.013724586
1,Forest,GLU101,1850,0.037834519
1,Forest,GLU101,1900,0.121598966
1,Forest,GLU101,1950,0.242875147
1,Forest,GLU217,1700,0.127059519
1,Forest,GLU217,1750,0.522019601
1,Forest,GLU217,1800,0.916979684
1,Forest,GLU217,1850,2.527834741
1,Forest,GLU217,1900,8.124382145
1,Forest,GLU217,1950,16.22719807
1,Forest,GLU218,1700,0.05213163
1,Forest,GLU218,1750,0.214180984
1,Forest,GLU218,1800,0.376230339
1,Forest,GLU218,1850,1.037152881
1,Forest,GLU218,1900,3.333377064
1,Forest,GLU218,1950,6.65790566
1,Forest,GLU219,1700,0.122309618
1,Forest,GLU219,1750,0.502504798
1,Forest,GLU219,1800,0.882699978
1,Forest,GLU219,1850,2.433335994
1,Forest,GLU219,1900,7.820666113
1,Forest,GLU219,1950,15.62057223
1,Forest,GLU220,1700,0.068452697
1,Forest,GLU220,1750,0.281235516
1,Forest,GLU220,1800,0.494018336
1,Forest,GLU220,1850,1.361858648
1,Forest,GLU220,1900,4.37697129
1,Forest,GLU220,1950,8.742323885
1,Forest,GLU221,1700,0.031244868
1,Forest,GLU221,1750,0.12836845
1,Forest,GLU221,1800,0.225492033
1,Forest,GLU221,1850,0.621613111
1,Forest,GLU221,1900,1.997845182
1,Forest,GLU221,1950,3.990387073
1,Forest,GLU222,1700,0.019617944
1,Forest,GLU222,1750,0.080599639
1,Forest,GLU222,1800,0.141581333
1,Forest,GLU222,1850,0.390296774
1,Forest,GLU222,1900,1.254401679
1,Forest,GLU222,1950,2.505473542
1,Forest,GLU223,1700,0.088722407
1,Forest,GLU223,1750,0.364512913
1,Forest,GLU223,1800,0.640303419
1,Forest,GLU223,1850,1.765122234
1,Forest,GLU223,1900,5.673047896
1,Forest,GLU223,1950,11.33103665
1,Forest,GLU224,1700,0.094793336
1,Forest,GLU224,1750,0.389455114
1,Forest,GLU224,1800,0.684116893
1,Forest,GLU224,1850,1.885902685
1,Forest,GLU224,1900,6.061232507
1,Forest,GLU224,1950,12.10637544
1,Forest,GLU225,1700,0.052530014
1,Forest,GLU225,1750,0.215817729
1,Forest,GLU225,1800,0.379105444
1,Forest,GLU225,1850,1.045078675
1,Forest,GLU225,1900,3.358850318
1,Forest,GLU225,1950,6.70878455
1,Forest,GLU226,1700,0.443516418
1,Forest,GLU226,1750,1.822171729
1,Forest,GLU226,1800,3.200827041
1,Forest,GLU226,1850,8.823708897
1,Forest,GLU226,1900,28.35912564
1,Forest,GLU226,1950,56.64297183
1,Forest,GLU227,1700,0.163315021
1,Forest,GLU227,1750,0.670974064
1,Forest,GLU227,1800,1.178633108
1,Forest,GLU227,1850,3.249133836
1,Forest,GLU227,1900,10.44261498
1,Forest,GLU227,1950,20.85750997
1,Forest,GLU228,1700,0.165106073
1,Forest,GLU228,1750,0.67833254
1,Forest,GLU228,1800,1.191559007
1,Forest,GLU228,1850,3.284766617
1,Forest,GLU228,1900,10.55713763
1,Forest,GLU228,1950,21.08625127
1,Forest,GLU229,1700,0.350760018
1,Forest,GLU229,1750,1.441085298
1,Forest,GLU229,1800,2.531410578
1,Forest,GLU229,1850,6.978330835
1,Forest,GLU229,1900,22.42813801
1,Forest,GLU229,1950,44.79674041
1,Forest,GLU230,1700,0.0579753
1,Forest,GLU230,1750,0.238189498
1,Forest,GLU230,1800,0.418403696
1,Forest,GLU230,1850,1.153412031
1,Forest,GLU230,1900,3.707030351
1,Forest,GLU230,1950,7.40422037
1,Forest,GLU231,1700,0.025096624
1,Forest,GLU231,1750,0.103108602
1,Forest,GLU231,1800,0.181120581
1,Forest,GLU231,1850,0.499294482
1,Forest,GLU231,1900,1.604716918
1,Forest,GLU231,1950,3.205174106
1,Forest,GLU232,1700,0.131163562
1,Forest,GLU232,1750,0.538880917
1,Forest,GLU232,1800,0.946598272
1,Forest,GLU232,1850,2.609484202
1,Forest,GLU232,1900,8.386800971
1,Forest,GLU232,1950,16.75133913
1,Forest,GLU233,1700,0.153356294
1,Forest,GLU233,1750,0.630058982
1,Forest,GLU233,1800,1.106761671
1,Forest,GLU233,1850,3.051006093
1,Forest,GLU233,1900,9.805838581
1,Forest,GLU233,1950,19.58564751
2,Forest,GLU087,1700,2.474803192
2,Forest,GLU087,1750,2.715049804
2,Forest,GLU087,1800,2.955296417
2,Forest,GLU087,1850,3.774694549
2,Forest,GLU087,1900,6.340436145
2,Forest,GLU087,1950,12.11988391
2,Forest,GLU100,1700,0.01196934
2,Forest,GLU100,1750,0.013131289
